name,nickname,weight_class,wins,losses,draws,height_cm,reach_cm,stance,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,striking_accuracy,striking_defense,takedown_avg_per_fight,takedown_accuracy,takedown_defense,submission_avg_per_fight
Anderson Silva,The Spider,Middleweight,34,11,0,187.96,195.58,Southpaw,3.05,2.05,61,60,0.5,77,69,0.8
Shannon Ross,The Turkish Delight,Flyweight,13,9,0,167.64,167.64,Switch,5.96,7.39,39,55,0.0,0,100,0.0
Syuri Kondo,,Strawweight,6,3,0,162.56,167.64,Orthodox,5.4,7.22,44,58,0.0,0,83,0.3
Jonathan Wilson,Johnny Bravo,Light Heavyweight,7,3,0,187.96,190.5,Southpaw,2.92,5.65,48,56,0.37,100,80,0.0
Danilo Marques,,Light Heavyweight,11,4,0,198.12,195.58,Orthodox,1.44,2.52,79,52,3.93,28,0,0.8
Tim Boetsch,The Barbarian,Middleweight,21,13,0,182.88,187.96,Orthodox,2.93,2.9,50,57,1.45,34,59,0.8
Tamdan McCrory,The Barncat,Middleweight,14,5,0,193.04,193.04,Switch,2.07,1.6,49,46,2.28,50,33,2.5
Muhammad Naimov,Hillman,Featherweight,13,3,0,175.26,177.8,Orthodox,2.61,3.45,40,45,1.69,36,67,0.2
Marcus Buchecha,,Heavyweight,5,2,0,187.96,195.58,Orthodox,1.6,2.73,40,52,1.0,9,0,0.0
Jan Blachowicz,,Light Heavyweight,29,11,1,187.96,198.12,Orthodox,3.44,3.03,49,52,1.03,48,69,0.3
Per Eklund,,Lightweight,14,5,1,177.8,182.88,Orthodox,2.07,2.38,61,67,2.07,11,50,3.6
Anthony Pettis,Showtime,Lightweight,24,10,0,177.8,182.88,Orthodox,3.05,3.44,47,54,0.61,50,60,1.1
Collin Anglin,,Featherweight,8,3,0,175.26,180.34,Orthodox,4.59,5.54,48,51,2.28,66,100,0.0
Kurt Pellegrino,Batman,Lightweight,16,7,0,172.72,177.8,Orthodox,2.45,1.94,43,63,2.9,54,69,0.8
Timmy Cuamba,Twilight,Featherweight,9,3,0,175.26,180.34,Orthodox,3.12,4.3,42,58,1.11,26,80,0.0
Ivan Salaverry,,Middleweight,14,9,0,182.88,,Orthodox,3.01,1.19,47,76,0.49,18,36,2.5
Cheyanne Vlismas,The Warrior Princess,Strawweight,7,3,0,160.02,160.02,Switch,4.93,2.57,50,64,0.25,33,66,0.2
Nissen Osterneck,,Middleweight,12,4,0,187.96,,Orthodox,3.15,2.9,58,41,0.63,12,42,1.3
JeongYeong Lee,Korean Tiger,Featherweight,11,3,0,177.8,185.42,Orthodox,3.38,3.82,49,50,0.63,66,72,0.3
Chad Mendes,Money,Featherweight,18,5,0,167.64,167.64,Orthodox,2.78,2.35,49,67,4.13,55,100,0.3
Brian Ortega,T-City,Featherweight,16,5,0,172.72,175.26,Switch,3.84,6.38,37,49,0.93,25,54,0.9
Maciej Jewtuszko,Irokez,Lightweight,12,3,0,182.88,,Southpaw,2.29,1.39,45,66,0.0,0,42,0.9
Court McGee,The Crusher,Welterweight,23,14,0,180.34,190.5,Orthodox,4.5,3.65,36,60,1.78,24,70,0.5
Luana Carolina,Dread,Bantamweight,11,4,0,167.64,175.26,Orthodox,4.81,3.54,50,50,0.34,37,74,0.6
Kajan Johnson,Ragin',Lightweight,23,13,1,180.34,190.5,Orthodox,2.47,1.59,42,64,1.54,37,62,0.2
Marcin Bandel,Bomba,Lightweight,15,7,0,177.8,,Orthodox,0.79,5.26,50,23,0.0,0,0,0.0
Harry Hunsucker,The Hurricane,Light Heavyweight,7,6,0,187.96,190.5,Orthodox,3.54,6.53,52,42,0.0,0,0,2.0
Robert Lucarelli,,Heavyweight,0,1,0,187.96,,,0.0,0.0,0,0,0.0,0,0,0.0
Ben Alloway,Blanco,Welterweight,18,8,0,180.34,193.04,Orthodox,1.28,1.9,49,59,0.62,50,26,0.0
Roman Dolidze,,Middleweight,15,4,0,187.96,193.04,Orthodox,3.41,3.72,41,48,0.99,39,26,0.8
Anthony Perosh,The Hippo,Light Heavyweight,15,10,0,190.5,190.5,Orthodox,2.27,3.77,43,53,2.03,22,33,1.1
Gavin Tucker,Guv'nor,Featherweight,13,3,0,167.64,167.64,Southpaw,4.29,4.18,44,57,3.13,44,53,1.5
Justin Frazier,The Grizzly Bear,Heavyweight,10,3,0,182.88,190.5,Southpaw,1.11,6.11,66,4,0.0,0,0,0.0
TJ Laramie,,Featherweight,12,5,0,167.64,167.64,Orthodox,1.49,2.64,50,38,1.44,33,40,0.0
Paul Creighton,,Lightweight,3,1,0,167.64,,Southpaw,0.72,4.65,75,30,5.37,37,0,0.0
James Toney,Lights Out,Heavyweight,0,1,0,175.26,,Orthodox,0.0,2.41,0,27,0.0,0,0,0.0
Ikram Aliskerov,,Middleweight,16,2,0,182.88,193.04,Southpaw,7.76,5.78,62,41,1.14,33,100,1.1
Jarjis Danho,Man Mountain,Heavyweight,7,1,1,190.5,187.96,Orthodox,3.38,5.25,50,49,0.51,16,100,0.0
Thiago Santos,Marreta,Light Heavyweight,22,11,0,187.96,193.04,Orthodox,3.72,2.57,48,53,0.88,33,65,0.1
Estevan Payan,El Terrible,Featherweight,16,12,0,177.8,,Orthodox,4.25,3.58,42,57,0.36,100,60,0.4
Manel Kape,StarBoy,Flyweight,21,7,0,165.1,172.72,Southpaw,5.04,4.05,55,57,0.42,30,81,0.3
Allen Crowder,Pretty Boy,Heavyweight,10,4,0,190.5,193.04,Orthodox,2.95,2.95,51,56,1.85,33,100,1.2
Frank Shamrock,,Middleweight,23,10,2,177.8,,Orthodox,4.75,4.66,53,57,0.35,50,37,1.1
SeungWoo Choi,Sting,Featherweight,11,8,0,182.88,187.96,Orthodox,3.56,3.16,38,47,0.83,54,70,0.0
Roger Narvaez,Silverback,Middleweight,8,3,0,190.5,,Southpaw,2.12,3.32,37,64,0.0,0,50,0.9
Fernando Padilla,El Valiente,Featherweight,16,6,0,185.42,193.04,Orthodox,6.07,5.74,40,52,0.0,0,100,0.6
Jamal Pogues,,Light Heavyweight,11,5,0,190.5,195.58,Orthodox,3.57,3.97,46,49,2.0,46,70,0.0
Vinicius Moreira,Mamute,Light Heavyweight,9,5,0,193.04,193.04,Orthodox,3.15,5.07,59,43,1.97,18,0,1.3
Ryan Jimmo,The Big Deal,Light Heavyweight,19,5,0,185.42,185.42,Orthodox,3.12,2.77,66,46,0.45,28,87,0.0
Kenny Robertson,,Welterweight,15,5,0,177.8,187.96,Orthodox,3.72,3.02,47,52,1.37,26,57,0.8
Petr Yan,No Mercy,Bantamweight,19,5,0,170.18,170.18,Switch,5.12,4.14,54,58,1.58,48,85,0.1
Nazareno Malegarie,El Tigre,Lightweight,28,4,0,172.72,,,3.87,3.27,34,69,1.0,33,0,0.0
Gerry Harris,,Super Heavyweight,1,4,0,203.2,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Andre Fialho,,Welterweight,16,8,0,182.88,187.96,Orthodox,3.3,6.26,41,45,0.25,100,66,0.0
Seo Hee Ham,,Strawweight,17,8,0,157.48,157.48,Southpaw,4.2,5.15,39,61,0.0,0,66,0.2
Terry Etim,,Lightweight,16,5,0,185.42,185.42,Orthodox,2.16,2.53,35,67,0.43,30,39,1.4
Rousimar Palhares,Toquinho,Welterweight,19,8,0,172.72,180.34,Orthodox,1.75,2.04,51,59,3.93,45,0,4.1
Michal Oleksiejczuk,Hussar,Middleweight,21,9,0,182.88,187.96,Southpaw,5.34,4.41,51,59,1.02,43,52,0.0
Yoislandy Izquierdo,Cuba,Lightweight,10,4,0,180.34,,Southpaw,2.93,1.4,52,26,0.0,0,50,0.0
Sergey Morozov,,Bantamweight,19,5,0,167.64,170.18,Orthodox,3.01,2.97,43,61,3.63,31,68,0.0
Talita Bernardo,,Bantamweight,6,4,0,162.56,172.72,Orthodox,3.12,4.04,42,55,1.62,22,28,0.5
Chris Indich,,Welterweight,6,4,0,177.8,,,1.31,4.32,30,43,0.75,50,50,1.5
Dan Hardy,The Outlaw,Welterweight,25,10,0,182.88,187.96,Orthodox,2.46,3.44,35,51,0.73,35,35,0.4
Rosi Sexton,The Surgeon,Bantamweight,13,5,0,160.02,,Orthodox,3.31,7.42,39,41,0.75,10,80,0.0
Jutaro Nakao,,Welterweight,25,19,4,175.26,,Southpaw,0.53,1.06,38,44,0.38,50,56,0.0
Scott Jorgensen,Young Guns,Bantamweight,15,12,0,165.1,167.64,Orthodox,3.37,3.41,40,65,2.61,45,59,0.7
Josh Fremd,,Middleweight,11,6,0,193.04,193.04,Orthodox,2.52,2.23,44,47,0.66,25,30,1.1
Yanal Ashmouz,Red Fox,Lightweight,8,2,0,175.26,175.26,Orthodox,2.88,4.78,50,50,3.24,38,64,0.0
Jason Saggo,,Lightweight,12,4,0,180.34,180.34,Orthodox,2.5,2.94,39,52,2.33,40,23,0.0
Seokhyeon Ko,The Korean Tyson,Welterweight,12,2,0,177.8,180.34,Southpaw,2.9,2.0,52,59,4.0,53,75,0.5
Rachael Ostovich,,Flyweight,4,6,0,160.02,157.48,Orthodox,2.54,3.97,43,57,2.03,83,66,0.8
Nick Penner,The Quiet Assassin,Light Heavyweight,11,3,0,193.04,,Southpaw,1.25,4.6,30,38,0.0,0,40,0.0
Marcin Held,,Lightweight,23,7,0,175.26,180.34,Orthodox,1.41,2.02,34,47,2.46,46,37,1.3
ChangHo Lee,,Bantamweight,11,1,0,172.72,175.26,Orthodox,4.92,2.35,67,39,3.27,33,37,0.4
Maiquel Falcao,Big Rig,Middleweight,37,10,0,180.34,,Orthodox,1.67,0.53,55,86,1.0,100,71,3.0
Ron Faircloth,,Light Heavyweight,33,20,0,175.26,,Orthodox,0.39,8.9,40,42,0.0,0,0,0.0
Thaddeus Luster,,Heavyweight,0,1,0,190.5,,,0.0,0.0,0,0,0.0,0,0,0.0
Steve Nelmark,The Sandman,Heavyweight,2,1,0,182.88,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Raphael Assuncao,,Bantamweight,28,10,0,165.1,167.64,Orthodox,3.22,2.5,42,66,1.65,39,78,0.2
Chance Rencountre,Black Eagle,Welterweight,14,4,0,187.96,190.5,Southpaw,1.1,3.62,20,49,1.35,26,16,0.3
Sam Stout,Hands of Stone,Lightweight,20,12,1,175.26,177.8,Orthodox,4.17,4.08,28,57,0.63,38,77,0.1
Brock Jardine,The Machine,Welterweight,12,6,0,180.34,,Orthodox,1.06,3.34,30,56,0.0,0,14,0.8
Zhalgas Zhumagulov,,Flyweight,14,9,0,162.56,167.64,Switch,5.24,5.86,43,52,1.3,19,75,0.2
John Polakowski,Buckets of Blood,Lightweight,2,2,0,177.8,,Orthodox,2.6,2.83,26,50,0.0,0,87,0.7
Dustin Pague,The Disciple,Bantamweight,12,11,0,175.26,187.96,Orthodox,1.65,2.96,53,41,1.03,44,55,2.6
Luis Gurule,Grim,Flyweight,10,1,0,165.1,162.56,Orthodox,5.34,3.74,48,58,0.68,16,50,0.0
Teemu Packalen,Pacu,Lightweight,8,3,0,185.42,190.5,Orthodox,2.57,3.91,54,47,2.31,25,100,1.5
Valter Walker,The Clean Monster,Heavyweight,14,1,0,198.12,198.12,Orthodox,1.9,2.89,49,42,5.43,66,0,2.0
Darrius Flowers,Beast Mode,Lightweight,12,8,1,175.26,180.34,Orthodox,3.07,5.49,49,44,0.98,28,63,0.0
Livinha Souza,The Brazilian Gangsta,Strawweight,14,4,0,160.02,160.02,Orthodox,1.75,3.6,45,56,2.54,45,40,1.4
Jarred Brooks,The Monkey God,Flyweight,13,2,0,160.02,157.48,Switch,2.12,1.66,46,62,4.54,57,69,0.6
Danny Abbadi,The Assassin,Lightweight,4,6,0,180.34,,Orthodox,3.29,4.41,38,57,0.0,0,77,0.0
Alex White,The Spartan,Lightweight,13,6,0,182.88,180.34,Southpaw,3.76,3.07,42,60,0.92,28,71,0.5
Rashid Magomedov,Highlander,Lightweight,20,2,0,175.26,177.8,Orthodox,4.4,3.05,49,54,0.67,57,89,0.2
Francisco Trevino,Sitkayan,Lightweight,13,3,0,175.26,177.8,Orthodox,2.65,2.42,42,64,0.97,22,41,0.0
Da Woon Jung,Sseda,Light Heavyweight,15,6,1,193.04,198.12,Orthodox,3.24,4.23,40,49,1.59,47,75,0.2
Nathan Coy,Soulforce,Welterweight,15,7,0,177.8,175.26,Southpaw,3.88,2.4,52,61,3.17,47,50,0.0
Stefan Struve,Skyscraper,Heavyweight,33,13,0,210.82,213.36,Orthodox,3.12,4.04,47,46,0.56,46,55,1.7
Brendson Ribeiro,The Gorilla,Light Heavyweight,17,9,0,190.5,205.74,Orthodox,3.06,4.0,42,53,0.9,42,18,0.6
Garreth McLellan,Soldier Boy,Middleweight,13,6,0,185.42,182.88,Southpaw,3.56,2.94,54,45,1.15,22,34,0.9
Cathal Pendred,The Punisher,Welterweight,17,4,1,185.42,190.5,Orthodox,2.49,3.01,44,55,2.46,23,83,0.4
Francis Marshall,Fire,Featherweight,8,3,0,175.26,182.88,Orthodox,3.46,4.1,33,54,2.75,44,66,0.4
Jules Bruchez,,Light Heavyweight,1,2,0,182.88,,Southpaw,0.69,5.52,50,46,0.0,0,0,0.0
Phil Hawes,No Hype,Middleweight,12,6,0,182.88,195.58,Orthodox,5.33,3.72,59,55,2.11,34,90,0.2
Yan Cabral,,Lightweight,13,3,0,180.34,185.42,Orthodox,2.02,1.98,47,62,2.89,35,37,1.2
Yao Zhikui,The Conqueror,Flyweight,2,4,0,165.1,162.56,Orthodox,1.44,2.82,21,48,0.66,16,58,0.0
Jessamyn Duke,The Gun,Bantamweight,3,5,0,180.34,185.42,Orthodox,4.83,4.43,53,57,1.27,36,50,1.9
Mana Martinez,ManaBoi,Bantamweight,10,4,0,177.8,177.8,Orthodox,4.33,4.94,48,50,0.72,42,25,0.5
Pascal Krauss,Panzer,Welterweight,11,2,0,185.42,,Orthodox,5.45,3.88,47,59,1.53,50,60,0.9
Maria Oliveira,Spider-Girl,Strawweight,13,7,0,167.64,175.26,Orthodox,5.03,5.76,38,44,0.95,44,47,0.0
Pedro Munhoz,The Young Punisher,Bantamweight,20,10,0,167.64,165.1,Orthodox,5.38,6.29,41,55,0.48,16,82,0.5
Renzo Gracie,,Middleweight,13,7,1,177.8,,Orthodox,1.71,1.67,41,55,1.13,20,40,0.8
Leo Kuntz,The Lion,Lightweight,18,4,1,177.8,,Orthodox,1.68,3.8,32,45,1.99,25,33,0.7
Justin James,,Lightweight,13,7,0,177.8,,Orthodox,1.34,2.68,36,50,0.0,0,50,1.6
Jimmy Quinlan,Crash,Middleweight,3,1,1,182.88,,Orthodox,2.08,5.94,70,16,4.46,25,0,0.0
Yizha,,Featherweight,26,5,0,170.18,180.34,Orthodox,2.97,2.81,45,47,3.51,30,54,1.1
Demetrious Johnson,Mighty Mouse,Flyweight,27,3,1,160.02,167.64,Orthodox,3.43,1.66,54,67,3.35,56,65,0.5
Alexander Munoz,,Lightweight,7,2,0,175.26,182.88,Switch,3.7,4.73,42,55,3.0,40,100,0.0
Sammy Morgan,The Squeeze,Welterweight,18,12,0,177.8,,Orthodox,1.05,3.74,22,40,1.43,20,0,0.5
Shayilan Nuerdanbieke,Wolverine,Featherweight,39,12,0,172.72,175.26,Orthodox,1.95,2.64,45,50,3.3,35,28,0.2
Blake Bilder,El Animal,Featherweight,8,2,1,172.72,172.72,Switch,3.81,4.15,48,53,0.31,7,71,0.6
Jeremy Stephens,Lil' Heathen,Lightweight,28,20,0,175.26,180.34,Orthodox,3.15,3.14,40,58,1.11,38,62,0.4
Shane Howell,,Flyweight,13,10,0,172.72,,Orthodox,1.27,2.55,32,42,0.0,0,20,0.0
Daniel Rodriguez,D-Rod,Welterweight,20,5,0,185.42,187.96,Southpaw,7.2,5.4,49,57,0.51,50,64,0.1
Jon Olav Einemo,The Viking,Heavyweight,6,3,0,198.12,,Orthodox,2.15,3.05,52,52,1.73,55,43,0.0
Randy Couture,The Natural,Light Heavyweight,19,11,0,185.42,190.5,Orthodox,2.85,1.53,57,59,2.78,46,58,0.5
Jordan Espinosa,The Gamer,Flyweight,15,9,0,167.64,175.26,Orthodox,4.22,2.94,52,57,0.75,28,70,0.2
Tim Hague,The Trashing Machine,Heavyweight,21,13,0,193.04,193.04,Orthodox,2.79,4.14,47,46,1.72,33,85,0.9
Austin Arnett,,Featherweight,16,6,0,182.88,182.88,Orthodox,4.52,6.38,41,62,0.44,18,57,0.2
Bea Malecki,,Bantamweight,4,1,0,175.26,187.96,Orthodox,6.84,6.96,46,62,0.0,0,78,1.1
Jay Cucciniello,,Lightweight,8,1,0,170.18,,Orthodox,0.93,4.73,21,36,0.0,0,71,0.0
Ian Freeman,The Machine,Heavyweight,20,7,1,180.34,,Orthodox,2.54,3.11,48,44,1.44,40,80,0.7
Nick Catone,The Jersey Devil,Middleweight,10,4,0,182.88,182.88,Southpaw,2.11,2.32,44,63,3.71,44,83,0.5
Tyson Pedro,,Light Heavyweight,10,5,0,190.5,200.66,Orthodox,2.9,2.39,59,56,0.76,30,50,0.8
Ismael Bonfim,Marreta,Lightweight,20,5,0,172.72,180.34,Orthodox,5.73,3.1,55,70,0.96,33,76,0.0
Nora Cornolle,,Bantamweight,9,3,0,170.18,170.18,Orthodox,2.75,1.98,54,58,0.25,11,47,0.2
Khalil Rountree Jr.,,Light Heavyweight,15,6,0,185.42,193.04,Southpaw,3.79,4.24,40,49,0.0,0,58,0.1
Amanda Ribas,,Strawweight,13,7,0,162.56,167.64,Orthodox,4.26,3.29,39,60,2.05,52,82,0.6
Steve Bosse,The Boss,Light Heavyweight,12,2,0,180.34,182.88,Orthodox,5.99,5.38,52,50,0.92,33,100,0.0
Valeri Ignatov,,Welterweight,1,2,0,175.26,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Lara Procopio,,Flyweight,7,2,0,162.56,170.18,Orthodox,5.64,6.5,58,47,3.15,47,50,0.3
Peter Sobotta,,Welterweight,17,7,1,182.88,190.5,Southpaw,2.14,2.9,40,58,1.53,32,77,0.5
Cortavious Romious,,Bantamweight,9,4,0,162.56,172.72,Southpaw,1.91,3.46,38,39,2.29,66,64,0.8
Cameron Saaiman,MSP,Bantamweight,9,3,0,172.72,170.18,Southpaw,5.3,4.14,46,51,0.89,28,47,0.7
Hugo Viana,Wolverine,Bantamweight,8,4,0,167.64,170.18,Orthodox,3.05,3.2,38,57,0.22,6,50,0.0
Jake Hecht,Hitman,Welterweight,11,4,0,182.88,185.42,Orthodox,3.26,2.76,47,56,2.04,37,40,0.0
Seth Petruzelli,The Silverback,Light Heavyweight,14,8,0,182.88,193.04,Orthodox,2.17,2.08,41,55,0.46,50,47,2.3
Andrei Semenov,,Middleweight,34,9,2,182.88,,Orthodox,0.78,2.44,15,60,1.74,80,55,0.4
Ryan Thomas,The Tank Engine,Welterweight,20,8,0,182.88,,Orthodox,2.01,4.17,36,30,5.59,33,0,2.2
Ron Stallings,The Choir Boy,Welterweight,14,8,0,187.96,190.5,Southpaw,3.22,3.26,60,51,0.0,0,71,0.0
Randy Costa,The Zohan,Bantamweight,6,4,0,175.26,185.42,Switch,6.53,7.58,46,58,0.0,0,50,0.0
Michel Prazeres,Tractor,Welterweight,26,4,0,167.64,170.18,Orthodox,2.38,2.51,47,57,3.94,36,47,0.6
Alex Da Silva,Leko,Lightweight,21,4,0,172.72,185.42,Orthodox,2.14,2.52,46,56,1.97,43,76,0.3
Alexander Yakovlev,Russian Thunder,Lightweight,24,10,1,190.5,187.96,Southpaw,1.74,2.41,47,58,1.66,35,72,0.1
Darren Elkins,The Damage,Featherweight,29,12,0,177.8,180.34,Orthodox,3.4,3.34,38,51,2.87,34,56,1.1
Daniel Barez,,Flyweight,17,7,0,167.64,167.64,Orthodox,3.65,5.95,49,50,1.93,28,80,0.6
Joao Roque,,Lightweight,7,2,4,167.64,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Joshua Burkman,The People's Warrior,Welterweight,28,16,0,177.8,182.88,Orthodox,2.69,3.13,43,51,2.53,36,72,0.3
Dave Beneteau,Dangerous,Heavyweight,6,5,1,187.96,,Orthodox,0.0,0.0,0,0,0.0,0,0,0.0
Tresean Gore,Mr. Vicious,Middleweight,6,4,0,182.88,190.5,Switch,2.76,7.48,42,40,1.83,75,88,0.9
Bill Mahood,The Butcher,Light Heavyweight,20,7,1,190.5,,Orthodox,1.54,3.59,85,17,0.0,0,0,3.9
Dong Hyun Kim,Stun Gun,Welterweight,22,4,1,187.96,193.04,Southpaw,2.12,1.89,49,58,2.93,43,71,0.6
Carlos Newton,The Ronin,Welterweight,16,14,0,175.26,,Orthodox,0.65,1.55,41,44,2.47,70,43,0.9
Elvis Mutapcic,The King,Middleweight,15,6,1,182.88,182.88,Orthodox,3.41,4.27,40,38,0.0,0,81,0.0
Rob Kimmons,The Rosedale Reaper,Middleweight,25,9,0,177.8,185.42,Orthodox,1.86,4.79,48,38,2.08,46,25,2.4
Kyle Kingsbury,Kingsbu,Light Heavyweight,11,6,0,193.04,200.66,Orthodox,2.97,3.81,40,51,2.64,41,52,0.0
Masio Fullen,Lobo,Featherweight,11,7,0,177.8,177.8,Orthodox,2.46,3.5,32,54,0.47,33,69,0.0
Forrest Petz,The Meat Cleaver,Welterweight,26,10,0,175.26,180.34,Orthodox,2.27,2.2,29,57,1.3,100,66,0.0
Felipe Arantes,Sertanejo,Bantamweight,18,10,1,172.72,185.42,Orthodox,2.37,2.66,45,64,0.93,47,41,0.7
Eddie Gordon,Truck,Middleweight,8,4,0,182.88,193.04,Orthodox,2.03,2.57,32,60,1.93,83,63,0.0
Johnny Munoz,Kid Kvenbo,Bantamweight,12,4,0,175.26,180.34,Orthodox,2.44,2.66,36,55,2.4,25,45,1.8
Daniel Marcos,Soncora,Bantamweight,17,1,0,170.18,175.26,Orthodox,5.11,3.88,53,61,0.99,46,84,0.0
Sheila Gaff,The German Tank,Bantamweight,9,7,0,165.1,,Orthodox,1.6,2.89,50,28,0.0,0,20,0.0
Tom Breese,,Middleweight,12,3,0,190.5,185.42,Southpaw,3.34,2.81,50,60,0.0,0,70,1.1
Tommy Speer,,Welterweight,21,7,0,177.8,180.34,Orthodox,2.56,5.12,51,35,2.02,33,33,0.0
Dustin Neace,The Beast,Featherweight,25,21,1,175.26,175.26,,2.08,2.66,32,56,0.0,0,0,1.7
Ricardo Almeida,Big Dog,Welterweight,13,5,0,182.88,187.96,Orthodox,2.02,1.2,49,61,3.74,38,31,1.2
Chris Wilson,The Professor,Welterweight,18,10,0,185.42,190.5,Orthodox,2.32,1.36,50,55,1.31,50,60,1.6
Kristian Rothaermel,,Light Heavyweight,4,3,0,182.88,,Open Stance,0.75,2.49,50,41,0.0,0,0,0.0
Miguel Baeza,Caramel Thunder,Welterweight,10,4,0,187.96,187.96,Orthodox,4.09,5.92,49,46,0.36,22,54,2.0
Wu Yanan,Mulan,Bantamweight,13,6,0,172.72,167.64,Orthodox,4.23,4.95,41,49,0.62,30,63,0.2
Rocky Lee,,Featherweight,3,2,0,175.26,,Orthodox,2.47,5.33,51,44,1.0,10,33,0.0
Emily Whitmire,Spitfire,Flyweight,4,5,0,165.1,160.02,Orthodox,2.5,2.98,31,54,1.9,66,70,0.5
Alex Morono,The Great White,Welterweight,24,12,0,180.34,182.88,Orthodox,5.03,4.78,40,56,0.33,24,47,0.3
Magnus Cedenblad,Jycken,Middleweight,14,5,0,195.58,200.66,Orthodox,2.38,3.02,51,40,2.87,64,66,1.0
Joe Ellenberger,Excalibur,Lightweight,15,2,0,175.26,182.88,Orthodox,1.62,3.45,47,48,3.17,40,0,1.1
Alex Oliveira,Cowboy,Welterweight,22,12,1,180.34,193.04,Orthodox,2.99,2.55,51,46,2.35,38,63,0.6
Shayna Baszler,The Queen of Spades,Bantamweight,15,11,0,170.18,,Orthodox,2.49,6.36,30,51,0.67,18,44,1.3
Claudio Puelles,Prince of Peru,Lightweight,13,4,0,177.8,182.88,Southpaw,1.56,2.78,49,46,3.17,36,60,1.2
Nick Pace,,Bantamweight,8,3,0,170.18,172.72,Orthodox,1.48,3.14,34,57,2.52,43,54,0.5
Klaudia Sygula,,Bantamweight,7,2,0,172.72,175.26,Orthodox,5.3,4.73,53,57,0.7,20,33,0.0
Justin Buchholz,,Lightweight,15,10,0,182.88,185.42,Orthodox,2.35,4.14,26,51,0.0,0,33,0.8
Nicolle Caliari,,Flyweight,8,4,0,160.02,157.48,Orthodox,3.46,7.01,38,53,2.88,24,0,1.0
Carli Judice,Crispy,Flyweight,5,2,0,170.18,172.72,Southpaw,10.73,8.08,52,55,0.7,25,77,0.0
Andrey Pulyaev,,Middleweight,10,3,0,193.04,198.12,Southpaw,3.81,3.51,60,48,0.41,16,64,0.0
Terrance McKinney,T. Wrecks,Lightweight,17,7,0,177.8,185.42,Switch,5.78,2.58,56,47,3.59,40,77,2.2
Ottman Azaitar,Bulldozer,Lightweight,13,3,0,172.72,180.34,Switch,4.43,4.11,44,52,0.0,0,100,0.0
Andre Gusmao,,Light Heavyweight,6,3,0,182.88,,Orthodox,2.79,3.28,43,60,0.0,0,60,0.0
Wes Combs,The Soldier,Light Heavyweight,20,6,0,187.96,,Orthodox,2.14,4.73,48,45,0.0,0,0,0.0
Ali AlQaisi,The Royal Fighter,Bantamweight,8,5,0,167.64,172.72,Orthodox,2.43,1.97,42,56,3.5,29,60,1.0
Mohammad Yahya,The UAE Warrior,Featherweight,12,6,0,175.26,185.42,Switch,3.5,6.39,39,43,0.5,20,42,0.5
Carlo Prater,Neo,Lightweight,31,18,1,180.34,182.88,Switch,2.03,4.07,47,35,0.43,9,57,1.7
Rex Holman,Big Dog,Light Heavyweight,4,2,0,190.5,,Southpaw,2.75,7.25,34,40,0.0,0,100,0.0
Vince Cachero,The Anomaly,Featherweight,7,4,0,167.64,172.72,Orthodox,3.29,6.51,45,43,0.0,0,18,0.5
Romie Aram,,Welterweight,7,1,0,177.8,,Orthodox,1.8,2.83,35,50,2.5,62,83,0.0
Juan Manuel Puig,Fenix,Featherweight,11,4,0,175.26,,Orthodox,4.91,7.17,23,51,0.0,0,0,0.0
Patrick Walsh,The Beast of the East,Middleweight,10,3,0,180.34,,,2.03,2.83,19,64,3.0,54,100,1.5
Nick Fiore,,Lightweight,6,2,0,177.8,182.88,Orthodox,2.83,7.93,46,42,2.5,45,71,0.0
Yuri Villefort,,Welterweight,10,5,0,182.88,185.42,Orthodox,3.18,5.42,43,55,2.0,35,40,0.3
Guilherme Vasconcelos,Bomba,Middleweight,9,4,0,182.88,,Orthodox,3.27,4.4,29,70,0.0,0,0,0.0
Mark Madsen,The Olympian,Lightweight,12,2,0,172.72,182.88,Orthodox,3.56,3.97,49,52,2.86,66,62,0.0
Islam Makhachev,,Welterweight,27,1,0,177.8,177.8,Southpaw,2.63,1.55,58,61,3.2,53,90,1.1
Buddy Roberts,,Middleweight,12,3,0,187.96,,Orthodox,2.17,2.08,34,70,0.0,0,76,0.7
Joe Veres,,Lightweight,4,3,0,170.18,,Orthodox,0.0,5.55,0,27,0.0,0,0,0.0
Jared Rollins,J-Roc,Welterweight,8,4,0,175.26,,Orthodox,3.33,2.41,57,39,2.5,50,50,1.2
Augusto Sakai,,Heavyweight,16,5,1,190.5,195.58,Orthodox,4.6,3.83,49,48,0.23,40,56,0.0
Chad Griggs,The Grave Digger,Light Heavyweight,11,3,0,185.42,185.42,Orthodox,2.67,2.22,50,46,1.51,66,41,0.0
Dennis Siver,,Featherweight,23,11,0,167.64,177.8,Orthodox,3.87,2.67,32,65,0.87,32,65,0.3
Krzysztof Soszynski,The Polish Experiment,Light Heavyweight,26,12,1,185.42,195.58,Open Stance,3.37,3.13,39,58,0.52,25,71,1.0
Tiago dos Santos e Silva,Trator,Featherweight,20,7,2,175.26,177.8,Orthodox,3.69,4.23,35,59,0.63,11,33,0.3
