name,nickname,weight_class,wins,losses,draws,height_cm,reach_cm,stance,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,striking_accuracy,striking_defense,takedown_avg_per_fight,takedown_accuracy,takedown_defense,submission_avg_per_fight
Diego Nunes,The Gun,Featherweight,19,7,0,167.64,170.18,Orthodox,2.72,2.59,43,58,1.18,44,65,0.6
Ryan Loder,Man of Steel,Middleweight,8,2,0,187.96,193.04,Southpaw,5.76,2.51,71,50,1.57,14,100,1.6
Jesse Forbes,Kid Hercules,Middleweight,15,5,0,187.96,190.5,Southpaw,2.11,4.06,24,53,1.79,75,66,1.2
Brian Cobb,,Lightweight,20,9,0,180.34,,Orthodox,0.0,3.68,0,55,5.81,50,0,0.0
Don Frye,The Predator,Heavyweight,20,9,1,185.42,,Orthodox,2.87,3.57,64,37,0.91,57,45,0.7
Hatsu Hioki,,Featherweight,29,10,2,180.34,185.42,Orthodox,2.42,2.12,42,65,2.55,56,54,0.6
James Hammortree,The Sledge,Middleweight,6,3,0,190.5,,Orthodox,1.93,4.13,30,44,2.0,50,100,1.0
Thomas Gifford,The Young Lion,Lightweight,14,9,0,185.42,190.5,Orthodox,3.97,6.45,37,37,0.5,33,33,0.0
Dominic Waters,Sho Nuff,Welterweight,9,5,0,185.42,200.66,Orthodox,0.48,2.53,23,39,4.07,52,28,0.0
Brandon Wolff,,Welterweight,7,5,0,175.26,,Orthodox,0.47,10.91,33,19,0.0,0,0,0.0
Dan Bobish,,Super Heavyweight,17,9,0,187.96,,Southpaw,2.06,1.74,44,34,2.44,42,0,1.6
Gray Maynard,,Lightweight,13,7,1,175.26,177.8,Orthodox,1.92,2.64,32,66,2.91,47,81,0.7
Christian Wellisch,The Hungarian Nightmare,Heavyweight,8,5,0,187.96,195.58,Orthodox,3.12,3.04,27,56,1.22,42,45,1.2
Sarah Frota,A Treta,Flyweight,9,2,0,167.64,175.26,Southpaw,4.52,2.57,52,55,0.0,0,53,0.0
Tomasz Drwal,Gorilla,Light Heavyweight,21,5,1,185.42,193.04,Orthodox,3.29,2.26,38,57,3.55,60,82,0.4
Mackens Semerzier,Da Menace,Featherweight,8,4,0,175.26,182.88,Orthodox,2.91,3.48,45,46,2.14,50,50,2.1
Sarah Moras,Cheesecake,Bantamweight,6,8,0,170.18,170.18,Orthodox,2.28,3.58,34,50,0.67,21,33,0.8
Manny Bermudez,The Bermudez Triangle,Featherweight,14,2,0,177.8,180.34,Orthodox,2.92,2.68,61,46,3.06,54,0,3.1
Jeff Molina,El Jefe,Flyweight,11,2,0,167.64,175.26,Orthodox,7.25,5.04,48,55,0.0,0,66,0.0
Matheus Camilo,Jaguar,Lightweight,9,3,0,177.8,175.26,Orthodox,1.49,1.38,48,55,3.44,66,0,1.7
Anthony Macias,Mad Dog,Middleweight,26,18,0,175.26,,Switch,0.0,0.0,0,0,0.0,0,0,0.0
Fabiano Scherner,Pegaleve,Heavyweight,11,10,0,190.5,,Orthodox,1.31,3.2,31,38,1.09,33,40,0.0
Maheshate,,Lightweight,10,5,0,182.88,180.34,Orthodox,3.96,5.96,31,51,0.0,0,47,0.0
JC Cottrell,,Lightweight,17,5,0,175.26,,Orthodox,0.79,2.75,25,45,0.79,100,50,0.0
Aisling Daly,Ais the Bash,Strawweight,16,6,0,157.48,162.56,Orthodox,2.92,1.4,52,55,2.15,41,33,0.9
Corey Hill,,Lightweight,6,9,0,193.04,203.2,Orthodox,3.57,1.61,46,70,3.02,80,100,0.0
Sione Latu,,Heavyweight,1,0,0,182.88,,,0.0,0.0,0,0,0.0,0,0,0.0
Rodolfo Bellato,Trator,Light Heavyweight,12,2,1,190.5,190.5,Orthodox,5.84,6.0,61,45,1.26,36,100,0.3
Magomed Ankalaev,,Light Heavyweight,21,1,1,190.5,190.5,Orthodox,3.66,2.46,52,57,0.8,22,87,0.0
Andy Ogle,The Little Axe,Featherweight,9,6,0,172.72,175.26,Orthodox,2.24,2.23,44,50,1.44,26,58,0.0
Gilbert Melendez,El Nino,Featherweight,22,8,0,175.26,185.42,Orthodox,3.44,2.53,33,63,1.64,41,71,0.2
Yanis Ghemmouri,The Desert Warrior,Bantamweight,12,3,0,175.26,175.26,Orthodox,2.29,5.14,38,35,0.0,0,0,0.0
Santiago Ponzinibbio,Argentine Dagger,Welterweight,31,9,0,182.88,185.42,Orthodox,4.78,4.68,41,61,0.6,27,71,0.0
Roland Delorme,,Bantamweight,9,5,0,175.26,180.34,Orthodox,2.28,4.32,44,40,2.51,34,42,1.6
Josh Samman,Anqa,Middleweight,13,4,0,190.5,200.66,Orthodox,2.08,2.47,52,34,1.09,33,33,0.4
Antonio Braga Neto,,Middleweight,9,3,0,190.5,195.58,Orthodox,1.36,3.92,33,45,3.07,37,0,0.5
Isaac Vallie-Flagg,,Lightweight,16,7,1,172.72,177.8,Orthodox,5.56,5.6,47,45,0.2,12,58,0.0
Nate Landwehr,The Train,Featherweight,18,7,0,175.26,182.88,Orthodox,5.63,5.83,45,52,0.76,41,71,0.8
Andreas Gustafsson,Bane,Welterweight,12,3,0,185.42,185.42,Orthodox,5.82,3.63,71,45,6.19,58,100,0.0
Jake O'Brien,Irish,Light Heavyweight,15,4,0,190.5,193.04,Orthodox,1.31,1.92,31,69,6.39,54,25,0.2
Javier Vazquez,Showtime,Featherweight,16,5,0,170.18,175.26,Southpaw,2.43,1.99,36,72,2.56,52,57,1.5
Mike Wessel,Juggernaut,Heavyweight,15,8,0,182.88,,Orthodox,1.82,6.43,56,22,6.29,50,0,0.0
Trevor Smith,Hot Sauce,Middleweight,15,10,0,190.5,190.5,Orthodox,3.29,3.31,55,51,1.7,32,60,0.7
Ben Sosoli,Combat Wombat,Heavyweight,7,3,0,182.88,182.88,Southpaw,2.31,4.3,31,47,0.0,0,0,0.0
