fighter_a_name,fighter_b_name,winner_name,fight_date,method,round,event_name
Michael Trizano,Luis Pena,Michael Trizano,2018-11-10,Decision - Split,3,UFC Fight Night: Korean Zombie vs. Rodriguez
Beneil Dariush,Thiago Moises,Beneil Dariush,2018-11-10,Decision - Unanimous,3,UFC Fight Night: Korean Zombie vs. Rodriguez
Maycee Barber,Hannah Cifers,Maycee Barber,2018-11-10,KO/TKO,2,UFC Fight Night: Korean Zombie vs. Rodriguez
Davi Ramos,John Gunther,Davi Ramos,2018-11-10,Submission,1,UFC Fight Night: Korean Zombie vs. Rodriguez
Ashley Yoder,Amanda Cooper,Ashley Yoder,2018-11-10,Decision - Split,3,UFC Fight Night: Korean Zombie vs. Rodriguez
Devonte Smith,Julian Erosa,Devonte Smith,2018-11-10,KO/TKO,1,UFC Fight Night: Korean Zombie vs. Rodriguez
Joseph Morales,Eric Shelton,Eric Shelton,2018-11-10,Decision - Split,3,UFC Fight Night: Korean Zombie vs. Rodriguez
Mark De La Rosa,Joby Sanchez,Mark De La Rosa,2018-11-10,Decision - Split,3,UFC Fight Night: Korean Zombie vs. Rodriguez
Daniel Cormier,Derrick Lewis,Daniel Cormier,2018-11-03,Submission,2,UFC 230: Cormier vs. Lewis
David Branch,Jared Cannonier,Jared Cannonier,2018-11-03,KO/TKO,2,UFC 230: Cormier vs. Lewis
Chris Weidman,Jacare Souza,Jacare Souza,2018-11-03,KO/TKO,3,UFC 230: Cormier vs. Lewis
Jason Knight,Jordan Rinaldi,Jordan Rinaldi,2018-11-03,Decision - Unanimous,3,UFC 230: Cormier vs. Lewis
Karl Roberson,Jack Marshman,Karl Roberson,2018-11-03,Decision - Unanimous,3,UFC 230: Cormier vs. Lewis
Sijara Eubanks,Roxanne Modafferi,Sijara Eubanks,2018-11-03,Decision - Unanimous,3,UFC 230: Cormier vs. Lewis
Derek Brunson,Israel Adesanya,Israel Adesanya,2018-11-03,KO/TKO,1,UFC 230: Cormier vs. Lewis
Julio Arce,Sheymon Moraes,Sheymon Moraes,2018-11-03,Decision - Split,3,UFC 230: Cormier vs. Lewis
Lyman Good,Ben Saunders,Lyman Good,2018-11-03,KO/TKO,1,UFC 230: Cormier vs. Lewis
Shane Burgos,Kurt Holobaugh,Shane Burgos,2018-11-03,Submission,1,UFC 230: Cormier vs. Lewis
Adam Wieczorek,Marcos Rogerio de Lima,Marcos Rogerio de Lima,2018-11-03,Decision - Unanimous,3,UFC 230: Cormier vs. Lewis
Volkan Oezdemir,Anthony Smith,Anthony Smith,2018-10-27,Submission,3,UFC Fight Night: Oezdemir vs. Smith
Misha Cirkunov,Patrick Cummins,Misha Cirkunov,2018-10-27,Submission,1,UFC Fight Night: Oezdemir vs. Smith
Michael Johnson,Artem Lobov,Michael Johnson,2018-10-27,Decision - Unanimous,3,UFC Fight Night: Oezdemir vs. Smith
Gian Villante,Ed Herman,Gian Villante,2018-10-27,Decision - Split,3,UFC Fight Night: Oezdemir vs. Smith
Andre Soukhamthath,Jonathan Martinez,Andre Soukhamthath,2018-10-27,Decision - Unanimous,3,UFC Fight Night: Oezdemir vs. Smith
Alex Garcia,Court McGee,Court McGee,2018-10-27,Decision - Unanimous,3,UFC Fight Night: Oezdemir vs. Smith
Nordine Taleb,Sean Strickland,Sean Strickland,2018-10-27,KO/TKO,2,UFC Fight Night: Oezdemir vs. Smith
Calvin Kattar,Chris Fishgold,Calvin Kattar,2018-10-27,KO/TKO,1,UFC Fight Night: Oezdemir vs. Smith
Thibault Gouti,Nasrat Haqparast,Nasrat Haqparast,2018-10-27,Decision - Unanimous,3,UFC Fight Night: Oezdemir vs. Smith
Sarah Moras,Talita Bernardo,Talita Bernardo,2018-10-27,Decision - Unanimous,3,UFC Fight Night: Oezdemir vs. Smith
Te Edwards,Don Madge,Don Madge,2018-10-27,KO/TKO,2,UFC Fight Night: Oezdemir vs. Smith
Arjan Bhullar,Marcelo Golm,Arjan Bhullar,2018-10-27,Decision - Unanimous,3,UFC Fight Night: Oezdemir vs. Smith
Tony Ferguson,Anthony Pettis,Tony Ferguson,2018-10-06,KO/TKO,2,UFC 229: Khabib vs. McGregor
Stevie Ray,Jessin Ayari,Stevie Ray,2018-10-27,Decision - Unanimous,3,UFC Fight Night: Oezdemir vs. Smith
Khabib Nurmagomedov,Conor McGregor,Khabib Nurmagomedov,2018-10-06,Submission,4,UFC 229: Khabib vs. McGregor
Derrick Lewis,Alexander Volkov,Derrick Lewis,2018-10-06,KO/TKO,3,UFC 229: Khabib vs. McGregor
Ovince Saint Preux,Dominick Reyes,Dominick Reyes,2018-10-06,Decision - Unanimous,3,UFC 229: Khabib vs. McGregor
Michelle Waterson-Gomez,Felice Herrig,Michelle Waterson-Gomez,2018-10-06,Decision - Unanimous,3,UFC 229: Khabib vs. McGregor
Sergio Pettis,Jussier Formiga,Jussier Formiga,2018-10-06,Decision - Unanimous,3,UFC 229: Khabib vs. McGregor
Vicente Luque,Jalin Turner,Vicente Luque,2018-10-06,KO/TKO,1,UFC 229: Khabib vs. McGregor
Aspen Ladd,Tonya Evinger,Aspen Ladd,2018-10-06,KO/TKO,1,UFC 229: Khabib vs. McGregor
Scott Holtzman,Alan Patrick,Scott Holtzman,2018-10-06,KO/TKO,3,UFC 229: Khabib vs. McGregor
Lina Lansberg,Yana Santos,Yana Santos,2018-10-06,Decision - Unanimous,3,UFC 229: Khabib vs. McGregor
Gray Maynard,Nik Lentz,Nik Lentz,2018-10-06,KO/TKO,2,UFC 229: Khabib vs. McGregor
Ryan LaFlare,Anthony Rocco Martin,Anthony Rocco Martin,2018-10-06,KO/TKO,3,UFC 229: Khabib vs. McGregor
Alex Oliveira,Carlo Pedersoli Jr.,Alex Oliveira,2018-09-22,KO/TKO,1,UFC Fight Night: Marreta vs. Anders
Thiago Santos,Eryk Anders,Thiago Santos,2018-09-22,KO/TKO,3,UFC Fight Night: Marreta vs. Anders
Sam Alvey,Rogerio Nogueira,Rogerio Nogueira,2018-09-22,KO/TKO,2,UFC Fight Night: Marreta vs. Anders
Renan Barao,Andre Ewell,Andre Ewell,2018-09-22,Decision - Split,3,UFC Fight Night: Marreta vs. Anders
Charles Oliveira,Christos Giagos,Charles Oliveira,2018-09-22,Submission,2,UFC Fight Night: Marreta vs. Anders
Luis Henrique,Ryan Spann,Ryan Spann,2018-09-22,Decision - Unanimous,3,UFC Fight Night: Marreta vs. Anders
Francisco Trinaldo,Evan Dunham,Francisco Trinaldo,2018-09-22,KO/TKO,2,UFC Fight Night: Marreta vs. Anders
Augusto Sakai,Chase Sherman,Augusto Sakai,2018-09-22,KO/TKO,3,UFC Fight Night: Marreta vs. Anders
Sergio Moraes,Ben Saunders,Sergio Moraes,2018-09-22,Submission,2,UFC Fight Night: Marreta vs. Anders
Mayra Bueno Silva,Gillian Robertson,Mayra Bueno Silva,2018-09-22,Submission,1,UFC Fight Night: Marreta vs. Anders
Elizeu Zaleski dos Santos,Luigi Vendramini,Elizeu Zaleski dos Santos,2018-09-22,KO/TKO,2,UFC Fight Night: Marreta vs. Anders
Thales Leites,Hector Lombard,Thales Leites,2018-09-22,Decision - Unanimous,3,UFC Fight Night: Marreta vs. Anders
Livinha Souza,Alex Chambers,Livinha Souza,2018-09-22,Submission,1,UFC Fight Night: Marreta vs. Anders
Jan Blachowicz,Nikita Krylov,Jan Blachowicz,2018-09-15,Submission,2,UFC Fight Night: Hunt vs. Oleinik
Mark Hunt,Aleksei Oleinik,Aleksei Oleinik,2018-09-15,Submission,1,UFC Fight Night: Hunt vs. Oleinik
Aleksei Kunchenko,Thiago Alves,Aleksei Kunchenko,2018-09-15,Decision - Unanimous,3,UFC Fight Night: Hunt vs. Oleinik
Andrei Arlovski,Shamil Abdurakhimov,Shamil Abdurakhimov,2018-09-15,Decision - Unanimous,3,UFC Fight Night: Hunt vs. Oleinik
Khalid Murtazaliev,CB Dollaway,Khalid Murtazaliev,2018-09-15,KO/TKO,2,UFC Fight Night: Hunt vs. Oleinik
