fighter_a_name,fighter_b_name,winner_name,fight_date,method,round,event_name
Benoit Saint Denis,Mauricio Ruffy,Benoit Saint Denis,2025-09-06,Submission,2,UFC Fight Night: Imavov vs. Borralho
Nassourdine Imavov,Caio Borralho,Nassourdine Imavov,2025-09-06,Decision - Unanimous,5,UFC Fight Night: Imavov vs. Borralho
Modestas Bukauskas,Paul Craig,Modestas Bukauskas,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Bolaji Oki,Mason Jones,Mason Jones,2025-09-06,KO/TKO,2,UFC Fight Night: Imavov vs. Borralho
Axel Sola,Rhys McKee,Axel Sola,2025-09-06,KO/TKO,3,UFC Fight Night: Imavov vs. Borralho
Oumar Sy,Brendson Ribeiro,Oumar Sy,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
William Gomis,Robert Ruchala,William Gomis,2025-09-06,Decision - Unanimous,3,UFC Fight Night: Imavov vs. Borralho
Marcin Tybura,Ante Delija,Ante Delija,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Harry Hardwick,Kaue Fernandes,Kaue Fernandes,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Andreas Gustafsson,Rinat Fakhretdinov,Rinat Fakhretdinov,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Sam Patterson,Trey Waters,Sam Patterson,2025-09-06,KO/TKO,1,UFC Fight Night: Imavov vs. Borralho
Brad Tavares,Robert Bryczek,Robert Bryczek,2025-09-06,KO/TKO,3,UFC Fight Night: Imavov vs. Borralho
Johnny Walker,Zhang Mingyang,Johnny Walker,2025-08-23,KO/TKO,2,UFC Fight Night: Walker vs. Zhang
Shauna Bannon,Sam Hughes,Sam Hughes,2025-09-06,Submission,2,UFC Fight Night: Imavov vs. Borralho
Brian Ortega,Aljamain Sterling,Aljamain Sterling,2025-08-23,Decision - Unanimous,5,UFC Fight Night: Walker vs. Zhang
Sergei Pavlovich,Waldo Cortes-Acosta,Sergei Pavlovich,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Sumudaerji,Kevin Borjas,Sumudaerji,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Taiyilake Nueraji,Kiefer Crosbie,Taiyilake Nueraji,2025-08-23,KO/TKO,1,UFC Fight Night: Walker vs. Zhang
Maheshate,Gauge Young,Gauge Young,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Rongzhu,Austin Hubbard,Rongzhu,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Charles Johnson,Lone'er Kavanagh,Charles Johnson,2025-08-23,KO/TKO,2,UFC Fight Night: Walker vs. Zhang
Xiao Long,SuYoung You,SuYoung You,2025-08-23,Decision - Unanimous,3,UFC Fight Night: Walker vs. Zhang
Michel Pereira,Kyle Daukaus,Kyle Daukaus,2025-08-23,KO/TKO,1,UFC Fight Night: Walker vs. Zhang
Yizha,Westin Wilson,Yizha,2025-08-23,KO/TKO,1,UFC Fight Night: Walker vs. Zhang
Dricus Du Plessis,Khamzat Chimaev,Khamzat Chimaev,2025-08-16,Decision - Unanimous,5,UFC 319: Du Plessis vs. Chimaev
Uran Satybaldiev,Diyar Nurgozhay,Uran Satybaldiev,2025-08-23,Submission,1,UFC Fight Night: Walker vs. Zhang
Lerone Murphy,Aaron Pico,Lerone Murphy,2025-08-16,KO/TKO,1,UFC 319: Du Plessis vs. Chimaev
Geoff Neal,Carlos Prates,Carlos Prates,2025-08-16,KO/TKO,1,UFC 319: Du Plessis vs. Chimaev
Jared Cannonier,Michael Page,Michael Page,2025-08-16,Decision - Unanimous,3,UFC 319: Du Plessis vs. Chimaev
Tim Elliott,Kai Asakura,Tim Elliott,2025-08-16,Submission,2,UFC 319: Du Plessis vs. Chimaev
Baisangur Susurkaev,Eric Nolan,Baisangur Susurkaev,2025-08-16,Submission,2,UFC 319: Du Plessis vs. Chimaev
Gerald Meerschaert,Michal Oleksiejczuk,Michal Oleksiejczuk,2025-08-16,KO/TKO,1,UFC 319: Du Plessis vs. Chimaev
Jessica Andrade,Loopy Godinez,Loopy Godinez,2025-08-16,Decision - Unanimous,3,UFC 319: Du Plessis vs. Chimaev
Chase Hooper,Alexander Hernandez,Alexander Hernandez,2025-08-16,KO/TKO,1,UFC 319: Du Plessis vs. Chimaev
Edson Barboza,Drakkar Klose,Drakkar Klose,2025-08-16,Decision - Unanimous,3,UFC 319: Du Plessis vs. Chimaev
Karine Silva,Dione Barbosa,Karine Silva,2025-08-16,Decision - Unanimous,3,UFC 319: Du Plessis vs. Chimaev
Alibi Idiris,Joseph Morales,Joseph Morales,2025-08-16,Submission,2,UFC 319: Du Plessis vs. Chimaev
Tatsuro Taira,HyunSung Park,Tatsuro Taira,2025-08-02,Submission,2,UFC Fight Night: Taira vs. Park
Mateusz Rebecki,Chris Duncan,Chris Duncan,2025-08-02,Decision - Unanimous,3,UFC Fight Night: Taira vs. Park
Elves Brener,Esteban Ribovics,Esteban Ribovics,2025-08-02,Decision - Unanimous,3,UFC Fight Night: Taira vs. Park
Karol Rosa,Nora Cornolle,Karol Rosa,2025-08-02,Decision - Unanimous,3,UFC Fight Night: Taira vs. Park
Neil Magny,Elizeu Zaleski dos Santos,Neil Magny,2025-08-02,KO/TKO,2,UFC Fight Night: Taira vs. Park
Danny Silva,Kevin Vallejos,Kevin Vallejos,2025-08-02,Decision - Unanimous,3,UFC Fight Night: Taira vs. Park
Rinya Nakamura,Nathan Fletcher,Rinya Nakamura,2025-08-02,KO/TKO,1,UFC Fight Night: Taira vs. Park
Rodolfo Vieira,Tresean Gore,Rodolfo Vieira,2025-08-02,Decision - Unanimous,3,UFC Fight Night: Taira vs. Park
Nick Klein,Andrey Pulyaev,Andrey Pulyaev,2025-08-02,KO/TKO,2,UFC Fight Night: Taira vs. Park
Austin Bashi,John Yannis,Austin Bashi,2025-08-02,Submission,1,UFC Fight Night: Taira vs. Park
Rafael Estevam,Felipe Bunes,Rafael Estevam,2025-08-02,Decision - Unanimous,3,UFC Fight Night: Taira vs. Park
Piera Rodriguez,Ketlen Souza,Piera Rodriguez,2025-08-02,Decision - Split,3,UFC Fight Night: Taira vs. Park
Roman Dolidze,Anthony Hernandez,Anthony Hernandez,2025-08-09,Submission,4,UFC Fight Night: Dolidze vs. Hernandez
Steve Erceg,Ode Osbourne,Steve Erceg,2025-08-09,Decision - Unanimous,3,UFC Fight Night: Dolidze vs. Hernandez
Iasmin Lucindo,Angela Hill,Iasmin Lucindo,2025-08-09,Decision - Unanimous,3,UFC Fight Night: Dolidze vs. Hernandez
Miles Johns,Jean Matsumoto,Jean Matsumoto,2025-08-09,Decision - Split,3,UFC Fight Night: Dolidze vs. Hernandez
Andre Fili,Christian Rodriguez,Andre Fili,2025-08-09,Decision - Split,3,UFC Fight Night: Dolidze vs. Hernandez
Eryk Anders,Christian Leroy Duncan,Christian Leroy Duncan,2025-08-09,KO/TKO,1,UFC Fight Night: Dolidze vs. Hernandez
Julius Walker,Rafael Cerqueira,Julius Walker,2025-08-09,Decision - Unanimous,3,UFC Fight Night: Dolidze vs. Hernandez
Elijah Smith,Toshiomi Kazama,Elijah Smith,2025-08-09,KO/TKO,1,UFC Fight Night: Dolidze vs. Hernandez
Joselyne Edwards,Priscila Cachoeira,Joselyne Edwards,2025-08-09,KO/TKO,1,UFC Fight Night: Dolidze vs. Hernandez
Uros Medic,Gilbert Urbina,Uros Medic,2025-08-09,KO/TKO,1,UFC Fight Night: Dolidze vs. Hernandez
Max Holloway,Dustin Poirier,Max Holloway,2025-07-19,Decision - Unanimous,5,UFC 318: Holloway vs. Poirier 3
Gabriella Fernandes,Julija Stoliarenko,Gabriella Fernandes,2025-08-09,Decision - Unanimous,3,UFC Fight Night: Dolidze vs. Hernandez
Cody Brundage,Eric McConico,Eric McConico,2025-08-09,Decision - Split,3,UFC Fight Night: Dolidze vs. Hernandez
Kevin Holland,Daniel Rodriguez,Daniel Rodriguez,2025-07-19,Decision - Unanimous,3,UFC 318: Holloway vs. Poirier 3
Paulo Costa,Roman Kopylov,Paulo Costa,2025-07-19,Decision - Unanimous,3,UFC 318: Holloway vs. Poirier 3
Dan Ige,Patricio Freire,Patricio Freire,2025-07-19,Decision - Unanimous,3,UFC 318: Holloway vs. Poirier 3
Michael Johnson,Daniel Zellhuber,Michael Johnson,2025-07-19,Decision - Unanimous,3,UFC 318: Holloway vs. Poirier 3
Kyler Phillips,Vinicius Oliveira,Vinicius Oliveira,2025-07-19,Decision - Unanimous,3,UFC 318: Holloway vs. Poirier 3
Marvin Vettori,Brendan Allen,Brendan Allen,2025-07-19,Decision - Unanimous,3,UFC 318: Holloway vs. Poirier 3
Ateba Gautier,Robert Valentin,Ateba Gautier,2025-07-19,KO/TKO,1,UFC 318: Holloway vs. Poirier 3
Francisco Prado,Nikolay Veretennikov,Nikolay Veretennikov,2025-07-19,Decision - Split,3,UFC 318: Holloway vs. Poirier 3
Adam Fugitt,Islam Dulatov,Islam Dulatov,2025-07-19,KO/TKO,1,UFC 318: Holloway vs. Poirier 3
Jimmy Crute,Marcin Prachnio,Jimmy Crute,2025-07-19,Submission,1,UFC 318: Holloway vs. Poirier 3
Ryan Spann,Lukasz Brzeski,Ryan Spann,2025-07-19,Submission,1,UFC 318: Holloway vs. Poirier 3
Brunno Ferreira,Jackson McVey,Brunno Ferreira,2025-07-19,Submission,1,UFC 318: Holloway vs. Poirier 3
Carli Judice,Nicolle Caliari,Carli Judice,2025-07-19,KO/TKO,3,UFC 318: Holloway vs. Poirier 3
Robert Whittaker,Reinier de Ridder,Reinier de Ridder,2025-07-26,Decision - Split,5,UFC Fight Night: Whittaker vs. De Ridder
Petr Yan,Marcus McGhee,Petr Yan,2025-07-26,Decision - Unanimous,3,UFC Fight Night: Whittaker vs. De Ridder
Shara Magomedov,Marc-Andre Barriault,Shara Magomedov,2025-07-26,Decision - Unanimous,3,UFC Fight Night: Whittaker vs. De Ridder
Asu Almabayev,Jose Ochoa,Asu Almabayev,2025-07-26,Decision - Unanimous,3,UFC Fight Night: Whittaker vs. De Ridder
Nikita Krylov,Bogdan Guskov,Bogdan Guskov,2025-07-26,KO/TKO,1,UFC Fight Night: Whittaker vs. De Ridder
Bryce Mitchell,Said Nurmagomedov,Bryce Mitchell,2025-07-26,Decision - Unanimous,3,UFC Fight Night: Whittaker vs. De Ridder
Muslim Salikhov,Carlos Leal,Muslim Salikhov,2025-07-26,KO/TKO,1,UFC Fight Night: Whittaker vs. De Ridder
Davey Grant,Da'Mon Blackshear,Davey Grant,2025-07-26,Decision - Unanimous,3,UFC Fight Night: Whittaker vs. De Ridder
Amanda Ribas,Tabatha Ricci,Tabatha Ricci,2025-07-26,KO/TKO,2,UFC Fight Night: Whittaker vs. De Ridder
Ibo Aslan,Billy Elekana,Billy Elekana,2025-07-26,Decision - Unanimous,3,UFC Fight Night: Whittaker vs. De Ridder
Mohammad Yahya,Steven Nguyen,Steven Nguyen,2025-07-26,KO/TKO,2,UFC Fight Night: Whittaker vs. De Ridder
Martin Buday,Marcus Buchecha,Martin Buday,2025-07-26,Decision - Unanimous,3,UFC Fight Night: Whittaker vs. De Ridder
Derrick Lewis,Tallison Teixeira,Derrick Lewis,2025-07-12,KO/TKO,1,UFC Fight Night: Lewis vs. Teixeira
Calvin Kattar,Steve Garcia,Steve Garcia,2025-07-12,Decision - Unanimous,3,UFC Fight Night: Lewis vs. Teixeira
Stephen Thompson,Gabriel Bonfim,Gabriel Bonfim,2025-07-12,Decision - Split,3,UFC Fight Night: Lewis vs. Teixeira
Nate Landwehr,Morgan Charriere,Morgan Charriere,2025-07-12,KO/TKO,3,UFC Fight Night: Lewis vs. Teixeira
Vitor Petrino,Austen Lane,Vitor Petrino,2025-07-12,Submission,1,UFC Fight Night: Lewis vs. Teixeira
Junior Tafa,Tuco Tokkos,Tuco Tokkos,2025-07-12,Submission,2,UFC Fight Night: Lewis vs. Teixeira
Jake Matthews,Chidi Njokuani,Jake Matthews,2025-07-12,Submission,1,UFC Fight Night: Lewis vs. Teixeira
Max Griffin,Chris Curtis,Chris Curtis,2025-07-12,Decision - Split,3,UFC Fight Night: Lewis vs. Teixeira
Kennedy Nzechukwu,Valter Walker,Valter Walker,2025-07-12,Submission,1,UFC Fight Night: Lewis vs. Teixeira
Lauren Murphy,Eduarda Moura,Eduarda Moura,2025-07-12,Decision - Unanimous,3,UFC Fight Night: Lewis vs. Teixeira
Ilia Topuria,Charles Oliveira,Ilia Topuria,2025-06-28,KO/TKO,1,UFC 317: Topuria vs. Oliveira
Mitch Ramirez,Mike Davis,Mike Davis,2025-07-12,KO/TKO,2,UFC Fight Night: Lewis vs. Teixeira
Fatima Kline,Melissa Martinez,Fatima Kline,2025-07-12,KO/TKO,3,UFC Fight Night: Lewis vs. Teixeira
Beneil Dariush,Renato Moicano,Beneil Dariush,2025-06-28,Decision - Unanimous,3,UFC 317: Topuria vs. Oliveira
Alexandre Pantoja,Kai Kara-France,Alexandre Pantoja,2025-06-28,Submission,3,UFC 317: Topuria vs. Oliveira
Brandon Royval,Joshua Van,Joshua Van,2025-06-28,Decision - Unanimous,3,UFC 317: Topuria vs. Oliveira
Payton Talbott,Felipe Lima,Payton Talbott,2025-06-28,Decision - Unanimous,3,UFC 317: Topuria vs. Oliveira
Hyder Amil,Jose Delgado,Jose Delgado,2025-06-28,KO/TKO,1,UFC 317: Topuria vs. Oliveira
Jack Hermansson,Gregory Rodrigues,Gregory Rodrigues,2025-06-28,KO/TKO,1,UFC 317: Topuria vs. Oliveira
Viviane Araujo,Tracy Cortez,Tracy Cortez,2025-06-28,Decision - Unanimous,3,UFC 317: Topuria vs. Oliveira
Niko Price,Jacobe Smith,Jacobe Smith,2025-06-28,Submission,2,UFC 317: Topuria vs. Oliveira
Jhonata Diniz,Alvin Hines,Jhonata Diniz,2025-06-28,Decision - Unanimous,3,UFC 317: Topuria vs. Oliveira
Terrance McKinney,Viacheslav Borshchev,Terrance McKinney,2025-06-28,Submission,1,UFC 317: Topuria vs. Oliveira
Rafael Fiziev,Ignacio Bahamondes,Rafael Fiziev,2025-06-21,Decision - Unanimous,3,UFC Fight Night: Hill vs. Rountree Jr.
Curtis Blaydes,Rizvan Kuniev,Curtis Blaydes,2025-06-21,Decision - Split,3,UFC Fight Night: Hill vs. Rountree Jr.
Jamahal Hill,Khalil Rountree Jr.,Khalil Rountree Jr.,2025-06-21,Decision - Unanimous,5,UFC Fight Night: Hill vs. Rountree Jr.
Tofiq Musayev,Myktybek Orolbai,Myktybek Orolbai,2025-06-21,Submission,1,UFC Fight Night: Hill vs. Rountree Jr.
Nazim Sadykhov,Nikolas Motta,Nazim Sadykhov,2025-06-21,KO/TKO,2,UFC Fight Night: Hill vs. Rountree Jr.
Muhammad Naimov,Bogdan Grad,Muhammad Naimov,2025-06-21,Decision - Unanimous,3,UFC Fight Night: Hill vs. Rountree Jr.
Seokhyeon Ko,Oban Elliott,Seokhyeon Ko,2025-06-21,Decision - Unanimous,3,UFC Fight Night: Hill vs. Rountree Jr.
Daria Zhelezniakova,Melissa Mullins,Daria Zhelezniakova,2025-06-21,Decision - Unanimous,3,UFC Fight Night: Hill vs. Rountree Jr.
Ismail Naurdiev,JunYong Park,JunYong Park,2025-06-21,Decision - Unanimous,3,UFC Fight Night: Hill vs. Rountree Jr.
Irina Alekseeva,Klaudia Sygula,Klaudia Sygula,2025-06-21,Decision - Unanimous,3,UFC Fight Night: Hill vs. Rountree Jr.
Hamdy Abdelwahab,Mohammed Usman,Mohammed Usman,2025-06-21,Decision - Unanimous,3,UFC Fight Night: Hill vs. Rountree Jr.
Tagir Ulanbekov,Azat Maksum,Tagir Ulanbekov,2025-06-21,Decision - Unanimous,3,UFC Fight Night: Hill vs. Rountree Jr.
Edmen Shahbazyan,Andre Petroski,Edmen Shahbazyan,2025-06-14,Decision - Unanimous,3,UFC Fight Night: Usman vs. Buckley
Kamaru Usman,Joaquin Buckley,Kamaru Usman,2025-06-14,Decision - Unanimous,5,UFC Fight Night: Usman vs. Buckley
Rose Namajunas,Miranda Maverick,Rose Namajunas,2025-06-14,Decision - Unanimous,3,UFC Fight Night: Usman vs. Buckley
Cody Garbrandt,Raoni Barcelos,Raoni Barcelos,2025-06-14,Decision - Unanimous,3,UFC Fight Night: Usman vs. Buckley
Alonzo Menifield,Oumar Sy,Alonzo Menifield,2025-06-14,Decision - Unanimous,3,UFC Fight Night: Usman vs. Buckley
Malcolm Wellmaker,Kris Moutinho,Malcolm Wellmaker,2025-06-14,KO/TKO,1,UFC Fight Night: Usman vs. Buckley
Michael Chiesa,Court McGee,Michael Chiesa,2025-06-14,Decision - Unanimous,3,UFC Fight Night: Usman vs. Buckley
Cody Durden,Jose Ochoa,Jose Ochoa,2025-06-14,KO/TKO,2,UFC Fight Night: Usman vs. Buckley
Ricky Simon,Cameron Smotherman,Ricky Simon,2025-06-14,Decision - Unanimous,3,UFC Fight Night: Usman vs. Buckley
Jamey-Lyn Horth,Vanessa Demopoulos,Jamey-Lyn Horth,2025-06-14,Decision - Unanimous,3,UFC Fight Night: Usman vs. Buckley
Phil Rowe,Ange Loosa,Phil Rowe,2025-06-14,KO/TKO,3,UFC Fight Night: Usman vs. Buckley
Merab Dvalishvili,Sean O'Malley,Merab Dvalishvili,2025-06-07,Submission,3,UFC 316: Dvalishvili vs. O'Malley 2
Kelvin Gastelum,Joe Pyfer,Joe Pyfer,2025-06-07,Decision - Unanimous,3,UFC 316: Dvalishvili vs. O'Malley 2
Julianna Pena,Kayla Harrison,Kayla Harrison,2025-06-07,Submission,2,UFC 316: Dvalishvili vs. O'Malley 2
Vicente Luque,Kevin Holland,Kevin Holland,2025-06-07,Submission,2,UFC 316: Dvalishvili vs. O'Malley 2
Bruno Silva,Joshua Van,Joshua Van,2025-06-07,KO/TKO,3,UFC 316: Dvalishvili vs. O'Malley 2
Mario Bautista,Patchy Mix,Mario Bautista,2025-06-07,Decision - Unanimous,3,UFC 316: Dvalishvili vs. O'Malley 2
Azamat Murzakanov,Brendson Ribeiro,Azamat Murzakanov,2025-06-07,KO/TKO,1,UFC 316: Dvalishvili vs. O'Malley 2
Serghei Spivac,Waldo Cortes-Acosta,Waldo Cortes-Acosta,2025-06-07,Decision - Unanimous,3,UFC 316: Dvalishvili vs. O'Malley 2
Khaos Williams,Andreas Gustafsson,Andreas Gustafsson,2025-06-07,Decision - Unanimous,3,UFC 316: Dvalishvili vs. O'Malley 2
Jeka Saragih,JooSang Yoo,JooSang Yoo,2025-06-07,KO/TKO,1,UFC 316: Dvalishvili vs. O'Malley 2
Ariane da Silva,Wang Cong,Wang Cong,2025-06-07,Decision - Unanimous,3,UFC 316: Dvalishvili vs. O'Malley 2
Quillan Salkilld,Yanal Ashmouz,Quillan Salkilld,2025-06-07,Decision - Unanimous,3,UFC 316: Dvalishvili vs. O'Malley 2
MarQuel Mederos,Mark Choinski,MarQuel Mederos,2025-06-07,Decision - Unanimous,3,UFC 316: Dvalishvili vs. O'Malley 2
Mateusz Gamrot,Ludovit Klein,Mateusz Gamrot,2025-05-31,Decision - Unanimous,3,UFC Fight Night: Blanchfield vs. Barber
Dustin Jacoby,Bruno Lopes,Dustin Jacoby,2025-05-31,KO/TKO,1,UFC Fight Night: Blanchfield vs. Barber
Billy Ray Goff,Ramiz Brahimaj,Ramiz Brahimaj,2025-05-31,Submission,1,UFC Fight Night: Blanchfield vs. Barber
Ketlen Vieira,Macy Chiasson,Ketlen Vieira,2025-05-31,Decision - Unanimous,3,UFC Fight Night: Blanchfield vs. Barber
Zachary Reese,Dusko Todorovic,Zachary Reese,2025-05-31,Decision - Unanimous,3,UFC Fight Night: Blanchfield vs. Barber
Jafel Filho,Allan Nascimento,Allan Nascimento,2025-05-31,Decision - Unanimous,3,UFC Fight Night: Blanchfield vs. Barber
Bolaji Oki,Michael Aswell,Bolaji Oki,2025-05-31,Decision - Unanimous,3,UFC Fight Night: Blanchfield vs. Barber
Kurt Holobaugh,Jordan Leavitt,Jordan Leavitt,2025-05-31,Submission,1,UFC Fight Night: Blanchfield vs. Barber
Rayanne dos Santos,Alice Ardelean,Alice Ardelean,2025-05-31,Decision - Unanimous,3,UFC Fight Night: Blanchfield vs. Barber
Gilbert Burns,Michael Morales,Michael Morales,2025-05-17,KO/TKO,1,UFC Fight Night: Burns vs. Morales
Sodiq Yusuff,Mairon Santos,Mairon Santos,2025-05-17,Decision - Unanimous,3,UFC Fight Night: Burns vs. Morales
Dustin Stoltzfus,Nursulton Ruziboev,Nursulton Ruziboev,2025-05-17,Decision - Unanimous,3,UFC Fight Night: Burns vs. Morales
Jared Gordon,Thiago Moises,Jared Gordon,2025-05-17,KO/TKO,1,UFC Fight Night: Burns vs. Morales
Gabe Green,Matheus Camilo,Gabe Green,2025-05-17,Submission,2,UFC Fight Night: Burns vs. Morales
Julian Erosa,Melquizael Costa,Melquizael Costa,2025-05-17,Decision - Unanimous,3,UFC Fight Night: Burns vs. Morales
Yadier del Valle,Connor Matthews,Yadier del Valle,2025-05-17,Submission,1,UFC Fight Night: Burns vs. Morales
Elise Reed,Denise Gomes,Denise Gomes,2025-05-17,KO/TKO,2,UFC Fight Night: Burns vs. Morales
Luana Santos,Tainara Lisboa,Luana Santos,2025-05-17,Submission,2,UFC Fight Night: Burns vs. Morales
HyunSung Park,Carlos Hernandez,HyunSung Park,2025-05-17,Submission,1,UFC Fight Night: Burns vs. Morales
Valentina Shevchenko,Manon Fiorot,Valentina Shevchenko,2025-05-10,Decision - Unanimous,5,UFC 315: Muhammad vs. Della Maddalena
Belal Muhammad,Jack Della Maddalena,Jack Della Maddalena,2025-05-10,Decision - Unanimous,5,UFC 315: Muhammad vs. Della Maddalena
Tecia Pennington,Luana Pinheiro,Tecia Pennington,2025-05-17,Decision - Unanimous,3,UFC Fight Night: Burns vs. Morales
Jose Aldo,Aiemann Zahabi,Aiemann Zahabi,2025-05-10,Decision - Unanimous,3,UFC 315: Muhammad vs. Della Maddalena
Benoit Saint Denis,Kyle Prepolec,Benoit Saint Denis,2025-05-10,Submission,2,UFC 315: Muhammad vs. Della Maddalena
Alexa Grasso,Natalia Silva,Natalia Silva,2025-05-10,Decision - Unanimous,3,UFC 315: Muhammad vs. Della Maddalena
Mike Malott,Charles Radtke,Mike Malott,2025-05-10,KO/TKO,2,UFC 315: Muhammad vs. Della Maddalena
Jessica Andrade,Jasmine Jasudavicius,Jasmine Jasudavicius,2025-05-10,Submission,1,UFC 315: Muhammad vs. Della Maddalena
Navajo Stirling,Ivan Erslan,Navajo Stirling,2025-05-10,Decision - Unanimous,3,UFC 315: Muhammad vs. Della Maddalena
Marc-Andre Barriault,Bruno Silva,Marc-Andre Barriault,2025-05-10,KO/TKO,1,UFC 315: Muhammad vs. Della Maddalena
Modestas Bukauskas,Ion Cutelaba,Modestas Bukauskas,2025-05-10,Decision - Split,3,UFC 315: Muhammad vs. Della Maddalena
Daniel Santos,JeongYeong Lee,Daniel Santos,2025-05-10,Decision - Unanimous,3,UFC 315: Muhammad vs. Della Maddalena
Brad Katona,Bekzat Almakhan,Bekzat Almakhan,2025-05-10,KO/TKO,1,UFC 315: Muhammad vs. Della Maddalena
Cory Sandhagen,Deiveson Figueiredo,Cory Sandhagen,2025-05-03,KO/TKO,2,UFC Fight Night: Sandhagen vs. Figueiredo
Santiago Ponzinibbio,Daniel Rodriguez,Daniel Rodriguez,2025-05-03,KO/TKO,3,UFC Fight Night: Sandhagen vs. Figueiredo
Reinier de Ridder,Bo Nickal,Reinier de Ridder,2025-05-03,KO/TKO,2,UFC Fight Night: Sandhagen vs. Figueiredo
Jeremy Stephens,Mason Jones,Mason Jones,2025-05-03,Decision - Unanimous,3,UFC Fight Night: Sandhagen vs. Figueiredo
Montel Jackson,Daniel Marcos,Montel Jackson,2025-05-03,Decision - Unanimous,3,UFC Fight Night: Sandhagen vs. Figueiredo
Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,2025-05-03,Decision - Unanimous,3,UFC Fight Night: Sandhagen vs. Figueiredo
Ryan Loder,Azamat Bekoev,Azamat Bekoev,2025-05-03,KO/TKO,1,UFC Fight Night: Sandhagen vs. Figueiredo
Yana Santos,Miesha Tate,Yana Santos,2025-05-03,Decision - Unanimous,3,UFC Fight Night: Sandhagen vs. Figueiredo
Marina Rodriguez,Gillian Robertson,Gillian Robertson,2025-05-03,KO/TKO,2,UFC Fight Night: Sandhagen vs. Figueiredo
Thomas Petersen,Don'Tale Mayes,Thomas Petersen,2025-05-03,Decision - Unanimous,3,UFC Fight Night: Sandhagen vs. Figueiredo
Gaston Bolanos,Quang Le,Quang Le,2025-05-03,Submission,2,UFC Fight Night: Sandhagen vs. Figueiredo
Anthony Smith,Zhang Mingyang,Zhang Mingyang,2025-04-26,KO/TKO,1,UFC Fight Night: Machado Garry vs. Prates
Juliana Miller,Ivana Petrovic,Juliana Miller,2025-05-03,Decision - Unanimous,3,UFC Fight Night: Sandhagen vs. Figueiredo
Ian Machado Garry,Carlos Prates,Ian Machado Garry,2025-04-26,Decision - Unanimous,5,UFC Fight Night: Machado Garry vs. Prates
Giga Chikadze,David Onama,David Onama,2025-04-26,Decision - Unanimous,3,UFC Fight Night: Machado Garry vs. Prates
Randy Brown,Nicolas Dalby,Randy Brown,2025-04-26,KO/TKO,2,UFC Fight Night: Machado Garry vs. Prates
Michel Pereira,Abus Magomedov,Abus Magomedov,2025-04-26,Decision - Unanimous,3,UFC Fight Night: Machado Garry vs. Prates
Evan Elder,Gauge Young,Evan Elder,2025-04-26,Decision - Unanimous,3,UFC Fight Night: Machado Garry vs. Prates
Ikram Aliskerov,Andre Muniz,Ikram Aliskerov,2025-04-26,KO/TKO,1,UFC Fight Night: Machado Garry vs. Prates
Matt Schnell,Jimmy Flick,Matt Schnell,2025-04-26,Decision - Unanimous,3,UFC Fight Night: Machado Garry vs. Prates
Chris Gutierrez,John Castaneda,Chris Gutierrez,2025-04-26,Decision - Split,3,UFC Fight Night: Machado Garry vs. Prates
Malcolm Wellmaker,Cameron Saaiman,Malcolm Wellmaker,2025-04-26,KO/TKO,1,UFC Fight Night: Machado Garry vs. Prates
Da'Mon Blackshear,Alatengheili,Da'Mon Blackshear,2025-04-26,Decision - Unanimous,3,UFC Fight Night: Machado Garry vs. Prates
Chelsea Chandler,Joselyne Edwards,Joselyne Edwards,2025-04-26,KO/TKO,1,UFC Fight Night: Machado Garry vs. Prates
Jaqueline Amorim,Polyana Viana,Jaqueline Amorim,2025-04-26,Submission,2,UFC Fight Night: Machado Garry vs. Prates
Timmy Cuamba,Roberto Romero,Timmy Cuamba,2025-04-26,KO/TKO,2,UFC Fight Night: Machado Garry vs. Prates
Josh Emmett,Lerone Murphy,Lerone Murphy,2025-04-05,Decision - Unanimous,5,UFC Fight Night: Emmett vs. Murphy
Pat Sabatini,Joanderson Brito,Pat Sabatini,2025-04-05,Decision - Unanimous,3,UFC Fight Night: Emmett vs. Murphy
Cortavious Romious,ChangHo Lee,ChangHo Lee,2025-04-05,KO/TKO,2,UFC Fight Night: Emmett vs. Murphy
Brad Tavares,Gerald Meerschaert,Brad Tavares,2025-04-05,Decision - Unanimous,3,UFC Fight Night: Emmett vs. Murphy
Ode Osbourne,Luis Gurule,Ode Osbourne,2025-04-05,KO/TKO,2,UFC Fight Night: Emmett vs. Murphy
Torrez Finney,Robert Valentin,Torrez Finney,2025-04-05,Decision - Split,3,UFC Fight Night: Emmett vs. Murphy
Diana Belbita,Dione Barbosa,Dione Barbosa,2025-04-05,Submission,1,UFC Fight Night: Emmett vs. Murphy
